scenario,exploration_floor,arm_rates,interval,coverage,coverage_lo,coverage_hi,mean_half_width,mean_estimate,bias,replications,true_effect
null,0.05,0.04/0.04,bandit_naive,0.918,0.9059754359413741,0.930024564058626,0.0029944379323871327,-5.870902744851425e-05,-5.870902744851425e-05,2000,0.0
null,0.05,0.04/0.04,bandit_adaptively_weighted,0.946,0.9360943376193209,0.955905662380679,0.0034124478542031755,-4.720400967194714e-05,-4.720400967194714e-05,2000,0.0
null,0.05,0.04/0.04,fixed_horizon_balanced,0.949,0.9393581744881998,0.9586418255118001,0.0024289297379086524,2.4740000000000058e-05,2.4740000000000058e-05,2000,0.0
lift,0.05,0.04/0.044,bandit_naive,0.946,0.9360943376193209,0.955905662380679,0.003927306192710117,0.0045932657268181794,0.0005932657268181828,2000,0.003999999999999997
lift,0.05,0.04/0.044,bandit_adaptively_weighted,0.946,0.9360943376193209,0.955905662380679,0.004520571229959197,0.004249753269600788,0.00024975326960079147,2000,0.003999999999999997
lift,0.05,0.04/0.044,fixed_horizon_balanced,0.9455,0.9355512139534514,0.9554487860465486,0.0024864596298703463,0.00403569,3.569000000000315e-05,2000,0.003999999999999997
null,0.01,0.04/0.04,bandit_naive,0.8715,0.8568335051835826,0.8861664948164175,0.0032167613338867037,-6.164413236024538e-05,-6.164413236024538e-05,2000,0.0
null,0.01,0.04/0.04,bandit_adaptively_weighted,0.9405,0.9301323827327587,0.9508676172672413,0.003832258011575452,-6.12166818708636e-05,-6.12166818708636e-05,2000,0.0
null,0.01,0.04/0.04,fixed_horizon_balanced,0.9545,0.9453665524690837,0.9636334475309163,0.002429631245028421,6.640000000000149e-06,6.640000000000149e-06,2000,0.0
lift,0.01,0.04/0.044,bandit_naive,0.924,0.9123859456174858,0.9356140543825143,0.0045489474824673675,0.005337041321913672,0.0013370413219136752,2000,0.003999999999999997
lift,0.01,0.04/0.044,bandit_adaptively_weighted,0.9445,0.9344656661506605,0.9545343338493395,0.005904182016559827,0.004789797828163673,0.0007897978281636766,2000,0.003999999999999997
lift,0.01,0.04/0.044,fixed_horizon_balanced,0.944,0.9339232360750089,0.954076763924991,0.0024861249491181067,0.00394918,-5.081999999999656e-05,2000,0.003999999999999997
null,0.002,0.04/0.04,bandit_naive,0.855,0.8395685003969154,0.8704314996030845,0.0033027595723988455,-0.00016394733911046273,-0.00016394733911046273,2000,0.0
null,0.002,0.04/0.04,bandit_adaptively_weighted,0.9345,0.9236569520982336,0.9453430479017664,0.004075851153406662,-0.00017067201405860543,-0.00017067201405860543,2000,0.0
null,0.002,0.04/0.04,fixed_horizon_balanced,0.9465,0.9366376985343177,0.9563623014656824,0.0024289495543848324,-1.4310000000000048e-05,-1.4310000000000048e-05,2000,0.0
lift,0.002,0.04/0.044,bandit_naive,0.902,0.8889696110265273,0.9150303889734728,0.004691403141687904,0.005611457605985185,0.0016114576059851884,2000,0.003999999999999997
lift,0.002,0.04/0.044,bandit_adaptively_weighted,0.9295,0.9182808403255859,0.9407191596744141,0.006460631525704983,0.004991053638384573,0.0009910536383845765,2000,0.003999999999999997
lift,0.002,0.04/0.044,fixed_horizon_balanced,0.9495,0.9399030275711556,0.9590969724288444,0.002485906801817633,0.00403199,3.199000000000344e-05,2000,0.003999999999999997
