statistic,value
q0.01,22.38
q0.05,32.38
q0.1,39.6
q0.25,62.0
q0.5,105.28
q0.75,176.78
q0.9,307.48800000000017
q0.95,450.53
q0.99,1066.7508000000003
q0.999,2337.600880000002
n,98815.0
mean,160.5587868238628
sd,220.14522577137257
cv,1.3711191403861172
skew,9.191928454467714
max,13664.08
hist_count_00,1581.0
hist_count_01,15226.0
hist_count_02,16852.0
hist_count_03,13317.0
hist_count_04,10927.0
hist_count_05,8784.0
hist_count_06,6980.0
hist_count_07,5041.0
hist_count_08,3834.0
hist_count_09,2693.0
hist_count_10,1898.0
hist_count_11,1464.0
hist_count_12,1407.0
hist_count_13,1061.0
hist_count_14,984.0
hist_count_15,713.0
hist_count_16,650.0
hist_count_17,445.0
hist_count_18,410.0
hist_count_19,305.0
hist_count_20,325.0
hist_count_21,247.0
hist_count_22,265.0
hist_count_23,191.0
hist_count_24,295.0
hist_count_25,209.0
hist_count_26,197.0
hist_count_27,160.0
hist_count_28,172.0
hist_count_29,126.0
hist_count_30,118.0
hist_count_31,107.0
hist_count_32,131.0
hist_count_33,106.0
hist_count_34,113.0
hist_count_35,72.0
hist_count_36,110.0
hist_count_37,51.0
hist_count_38,49.0
hist_count_39,47.0
hist_count_40,72.0
hist_count_41,69.0
hist_count_42,34.0
hist_count_43,43.0
hist_count_44,37.0
hist_count_45,47.0
hist_count_46,35.0
hist_count_47,17.0
hist_count_48,37.0
hist_count_49,51.0
hist_count_50,33.0
hist_count_51,19.0
hist_count_52,30.0
hist_count_53,42.0
hist_count_54,35.0
hist_count_55,24.0
hist_count_56,23.0
hist_count_57,27.0
hist_count_58,13.0
hist_count_59,24.0
hist_edge_00,0.0
hist_edge_01,25.0
hist_edge_02,50.0
hist_edge_03,75.0
hist_edge_04,100.0
hist_edge_05,125.0
hist_edge_06,150.0
hist_edge_07,175.0
hist_edge_08,200.0
hist_edge_09,225.0
hist_edge_10,250.0
hist_edge_11,275.0
hist_edge_12,300.0
hist_edge_13,325.0
hist_edge_14,350.0
hist_edge_15,375.0
hist_edge_16,400.0
hist_edge_17,425.0
hist_edge_18,450.0
hist_edge_19,475.0
hist_edge_20,500.0
hist_edge_21,525.0
hist_edge_22,550.0
hist_edge_23,575.0
hist_edge_24,600.0
hist_edge_25,625.0
hist_edge_26,650.0
hist_edge_27,675.0
hist_edge_28,700.0
hist_edge_29,725.0
hist_edge_30,750.0
hist_edge_31,775.0
hist_edge_32,800.0
hist_edge_33,825.0
hist_edge_34,850.0
hist_edge_35,875.0
hist_edge_36,900.0
hist_edge_37,925.0
hist_edge_38,950.0
hist_edge_39,975.0
hist_edge_40,1000.0
hist_edge_41,1025.0
hist_edge_42,1050.0
hist_edge_43,1075.0
hist_edge_44,1100.0
hist_edge_45,1125.0
hist_edge_46,1150.0
hist_edge_47,1175.0
hist_edge_48,1200.0
hist_edge_49,1225.0
hist_edge_50,1250.0
hist_edge_51,1275.0
hist_edge_52,1300.0
hist_edge_53,1325.0
hist_edge_54,1350.0
hist_edge_55,1375.0
hist_edge_56,1400.0
hist_edge_57,1425.0
hist_edge_58,1450.0
hist_edge_59,1475.0
hist_edge_60,1500.0
hist_above_range,440.0
