metric,true_relative_effect,reading_rule,days,users_per_day,replications,rejection_rate,rate_lo,rate_hi,nominal_alpha
revenue_p10,0.0,fixed_horizon,14,10000,20000,0.0486,0.04570559716257019,0.05166777298888107,0.05
revenue_p10,0.0,naive_peeking,14,10000,20000,0.2165,0.21084676247691053,0.22226212196690076,0.05
revenue_p10,0.0,msprt,14,10000,20000,0.0041,0.003304619324814413,0.005085842035630155,0.05
revenue_p10,0.0,alpha_spending,14,10000,20000,0.04895,0.04604537572539664,0.05202786000081535,0.05
conversion_p04,0.0,fixed_horizon,14,10000,20000,0.0503,0.04735634162979811,0.053416375599062385,0.05
conversion_p04,0.0,naive_peeking,14,10000,20000,0.22025,0.21456062655068386,0.22604681762270662,0.05
conversion_p04,0.0,msprt,14,10000,20000,0.00585,0.004883836672127152,0.00700595256212105,0.05
conversion_p04,0.0,alpha_spending,14,10000,20000,0.0508,0.047842039057003814,0.05393048613580057,0.05
sessions_m3,0.0,fixed_horizon,14,10000,20000,0.051,0.048036340963523244,0.054136107414858706,0.05
sessions_m3,0.0,naive_peeking,14,10000,20000,0.21595,0.21030212072269883,0.22170697496077418,0.05
sessions_m3,0.0,msprt,14,10000,20000,0.013,0.011521020075083065,0.014666023043562838,0.05
sessions_m3,0.0,alpha_spending,14,10000,20000,0.05095,0.047987764265624094,0.054084703316363475,0.05
