metric,true_relative_effect,n_total,estimator,replications,power,power_lo,power_hi,mean_se,effective_variance
conversion_p04,0.05,105488,cuped,1500,0.4766666666666667,0.45148304349340806,0.5019694966068671,0.0010570774955556996,0.0294684111952271
conversion_p04,0.05,150698,cuped,1500,0.612,0.5870837037570998,0.6363441037615795,0.0008842027805791615,0.029454472534625624
conversion_p04,0.05,210978,cuped,1500,0.764,0.7418540478824774,0.7847972126972668,0.0007474281837295009,0.02946565636980619
conversion_p04,0.05,301396,cuped,1500,0.8966666666666666,0.8802355983981932,0.9110712198971295,0.0006252702339348118,0.029458660948407336
conversion_p04,0.05,421956,cuped,1500,0.9673333333333334,0.95707623198922,0.9752028934309839,0.0005284725125673832,0.02946130511973242
conversion_p04,0.05,572654,cuped,1500,0.9906666666666667,0.9843943504914645,0.9944322348284642,0.0004536080974655481,0.02945736558038804
conversion_p04,0.05,105488,cuped_plus_strata,1500,0.49666666666666665,0.4714050534189805,0.5219453094524873,0.001034182771812903,0.028205750793431527
conversion_p04,0.05,150698,cuped_plus_strata,1500,0.6346666666666667,0.6099833781245948,0.658661961868103,0.0008650940684993342,0.028195134187640452
conversion_p04,0.05,210978,cuped_plus_strata,1500,0.7766666666666666,0.7548986098908663,0.7970212717772998,0.0007312371010807412,0.02820289017700098
conversion_p04,0.05,301396,cuped_plus_strata,1500,0.902,0.8859113811407675,0.9160348565602066,0.0006117345979613607,0.02819704388292276
conversion_p04,0.05,421956,cuped_plus_strata,1500,0.9713333333333334,0.9616101063172817,0.9786485836571606,0.0005170365046685485,0.02820003123114752
conversion_p04,0.05,572654,cuped_plus_strata,1500,0.9946666666666667,0.9895110786364689,0.9972950712376982,0.0004437859611194402,0.028195475705612233
conversion_p04,0.05,105488,diff_in_means,1500,0.378,0.35380277168295404,0.40282050941277026,0.0012208908699182634,0.03930943114253904
conversion_p04,0.05,150698,diff_in_means,1500,0.4646666666666667,0.4395492505485541,0.4899645958890054,0.00102147707568334,0.03931015409561463
conversion_p04,0.05,210978,diff_in_means,1500,0.6493333333333333,0.6248315845192117,0.6730721588390275,0.0008632961381516443,0.03930943267706108
conversion_p04,0.05,301396,diff_in_means,1500,0.7913333333333333,0.770037891732153,0.8111403933015545,0.000722297633116483,0.03931061845133669
conversion_p04,0.05,421956,diff_in_means,1500,0.9073333333333333,0.8916007201325461,0.9209849369740793,0.0006105001248690275,0.03931684764564074
conversion_p04,0.05,572654,diff_in_means,1500,0.9633333333333334,0.9525774783578572,0.971722082508108,0.0005240607283658312,0.03931837310547856
conversion_p04,0.05,105488,lin_adjusted,1500,0.4766666666666667,0.45148304349340806,0.5019694966068671,0.001057122216367147,0.02947090463424708
conversion_p04,0.05,150698,lin_adjusted,1500,0.612,0.5870837037570998,0.6363441037615795,0.0008842239499762013,0.0294558829370845
conversion_p04,0.05,210978,lin_adjusted,1500,0.764,0.7418540478824774,0.7847972126972668,0.0007474370443352248,0.029466354992407583
conversion_p04,0.05,301396,lin_adjusted,1500,0.8966666666666666,0.8802355983981932,0.9110712198971295,0.0006252702438340074,0.029458661881178586
conversion_p04,0.05,421956,lin_adjusted,1500,0.9673333333333334,0.95707623198922,0.9752028934309839,0.0005284680052909361,0.029460802578248308
conversion_p04,0.05,572654,lin_adjusted,1500,0.9906666666666667,0.9843943504914645,0.9944322348284642,0.0004536021570624564,0.02945659404442681
conversion_p04,0.05,105488,post_stratified,1500,0.4266666666666667,0.40185587945924867,0.4518521037130447,0.0011279495738951064,0.03355231080224901
conversion_p04,0.05,150698,post_stratified,1500,0.5453333333333333,0.5200506603813491,0.5703844045666879,0.0009437453460032531,0.033554992274883934
conversion_p04,0.05,210978,post_stratified,1500,0.7146666666666667,0.6912886055053428,0.736948025572126,0.0007975793594434328,0.03355250829509751
conversion_p04,0.05,301396,post_stratified,1500,0.8466666666666667,0.8275491245794631,0.8640131367878778,0.0006673024155918794,0.03355234562644211
conversion_p04,0.05,421956,post_stratified,1500,0.9473333333333334,0.934843684757635,0.957537617891376,0.0005640187379824586,0.03355785864340207
conversion_p04,0.05,572654,post_stratified,1500,0.98,0.9715926317939492,0.9859551147146766,0.0004841474217718951,0.03355734201089975
conversion_p04,0.075,46884,cuped,1500,0.47733333333333333,0.4521464595955274,0.502636007930454,0.0015941666233712784,0.029787365221614993
conversion_p04,0.075,66978,cuped,1500,0.6206666666666667,0.5958327507504623,0.6448841133024007,0.0013337070038198363,0.029784687472591713
conversion_p04,0.075,93768,cuped,1500,0.7666666666666667,0.7445980289683917,0.7873729413141782,0.0011270103110488064,0.029774908838452494
conversion_p04,0.075,133954,cuped,1500,0.8913333333333333,0.8745724531026949,0.9060949457869764,0.0009431513489830725,0.02978917500109623
conversion_p04,0.075,187536,cuped,1500,0.97,0.9600945147964701,0.9775043203265592,0.0007970074885399578,0.029781698400404736
conversion_p04,0.075,254514,cuped,1500,0.9926666666666667,0.9869160908041851,0.9959002767928627,0.000684209099645166,0.029787179103192077
conversion_p04,0.075,46884,cuped_plus_strata,1500,0.5,0.47472931184068445,0.5252706881593155,0.001558861601697665,0.028482610110352885
conversion_p04,0.075,66978,cuped_plus_strata,1500,0.6433333333333333,0.6187543426921366,0.6671800538347447,0.0013041912094782138,0.02848096637633428
conversion_p04,0.075,93768,cuped_plus_strata,1500,0.7813333333333333,0.759711459443883,0.8015179142042284,0.0011020491347777661,0.028470597230277003
conversion_p04,0.075,133954,cuped_plus_strata,1500,0.9033333333333333,0.8873324063961125,0.9172736861562745,0.0009222505351565164,0.028483511381911752
conversion_p04,0.075,187536,cuped_plus_strata,1500,0.9773333333333334,0.9684933393768472,0.983734697428953,0.0007793481650172476,0.02847657093561167
conversion_p04,0.075,254514,cuped_plus_strata,1500,0.9966666666666667,0.9922205476749006,0.9985753844763858,0.0006690495608179682,0.028481854601706224
conversion_p04,0.075,46884,diff_in_means,1500,0.394,0.3695730083675056,0.41896853094517283,0.0018420810120687344,0.03977242923533833
conversion_p04,0.075,66978,diff_in_means,1500,0.5106666666666667,0.4853744676936894,0.5359043711176136,0.0015413114669500425,0.039778921363331006
