metric,true_relative_effect,estimator,n_required_measured,n_required_from_variance,measured_variance,replications,n_required_baseline,sample_size_ratio,users_saved_pct
conversion_p04,0.05,cuped,231200.99439912316,231235.6780814821,0.029460978624697782,1500,311895.8292277167,0.741276326046419,25.872367395358097
conversion_p04,0.05,cuped_plus_strata,222156.7304115136,221333.60234885456,0.02819938766295925,1500,311895.8292277167,0.7122786186708379,28.772138132916215
conversion_p04,0.05,diff_in_means,311895.8292277167,308558.89764556213,0.03931247618627846,1500,311895.8292277167,1.0,0.0
conversion_p04,0.05,lin_adjusted,231200.99439912316,231240.03331941814,0.029461533511265476,1500,311895.8292277167,0.741276326046419,25.872367395358097
conversion_p04,0.05,post_stratified,265856.86802672275,263365.7029087469,0.03355455960882906,1500,311895.8292277167,0.8523899427735512,14.761005722644882
conversion_p04,0.075,cuped,101971.93366536817,103898.82689661802,0.02978416900622537,1500,137683.82356894872,0.7406239238722412,25.93760761277588
conversion_p04,0.075,cuped_plus_strata,96918.68321867312,99347.11421161587,0.02847935177269897,1500,137683.82356894872,0.7039220781818177,29.607792181818226
conversion_p04,0.075,diff_in_means,137683.82356894872,138734.61532585212,0.03977037425061964,1500,137683.82356894872,1.0,0.0
conversion_p04,0.075,lin_adjusted,101971.93366536817,103903.83017426664,0.029785603271380454,1500,137683.82356894872,0.7406239238722412,25.93760761277588
conversion_p04,0.075,post_stratified,116162.06347951904,118193.7195930349,0.033882016043705214,1500,137683.82356894872,0.8436870829734613,15.631291702653872
conversion_p04,0.1,cuped,59136.6629971248,59108.152440662496,0.030123102629277,1500,79228.60113493243,0.7464054918300336,25.35945081699664
conversion_p04,0.1,cuped_plus_strata,56807.52433397293,56456.52495119092,0.02877176201547335,1500,79228.60113493243,0.7170077916335457,28.299220836645432
conversion_p04,0.1,diff_in_means,79228.60113493243,78940.49962498191,0.04023019961919622,1500,79228.60113493243,1.0,0.0
conversion_p04,0.1,lin_adjusted,59153.76669261994,59113.18183249953,0.030125665742489205,1500,79228.60113493243,0.746621369622272,25.337863037772802
conversion_p04,0.1,post_stratified,66380.22756604863,67127.16573881327,0.03420980726461859,1500,79228.60113493243,0.8378316241252067,16.216837587479326
revenue_p10,0.05,cuped,254707.56418404405,256823.12472952847,5710.86356194352,1500,340500.5121689979,0.7480387109010488,25.196128909895123
revenue_p10,0.05,cuped_plus_strata,249153.1757917965,251289.94267402778,5587.824611242966,1500,340500.5121689979,0.7317262878833389,26.827371211666108
revenue_p10,0.05,diff_in_means,340500.5121689979,343121.18476668646,7629.835800333841,1500,340500.5121689979,1.0,0.0
revenue_p10,0.05,lin_adjusted,254668.79578628394,257041.92202162172,5715.728861687003,1500,340500.5121689979,0.7479248538101646,25.207514618983538
revenue_p10,0.05,post_stratified,305690.5352530137,308791.13307402405,6866.45344721538,1500,340500.5121689979,0.8977682098207617,10.223179017923833
revenue_p10,0.075,cuped,112406.31114849713,114843.31187029967,5745.871182796981,1500,151235.30412017147,0.7432544391829249,25.67455608170751
revenue_p10,0.075,cuped_plus_strata,109628.45459367026,112287.50101129475,5617.9981728299645,1500,151235.30412017147,0.7248866607664541,27.511333923354584
revenue_p10,0.075,diff_in_means,151235.30412017147,153680.8556498061,7689.00152255335,1500,151235.30412017147,1.0,0.0
revenue_p10,0.075,lin_adjusted,112683.31709018438,115046.17053747045,5756.020661690392,1500,151235.30412017147,0.7450860613911041,25.491393860889588
