n_total,intended_allocation,true_allocation,drift,detection_rate_measured,detection_rate_analytic,replications,threshold
10000,0.5,0.5,0.0,0.00025,0.000499999999999945,4000,0.0005
10000,0.5,0.499,-0.0010000000000000009,0.0005,0.000633917124216867,4000,0.0005
10000,0.5,0.498,-0.0020000000000000018,0.00125,0.00108444352030683,4000,0.0005
10000,0.5,0.495,-0.0050000000000000044,0.00625,0.006558915675352446,4000,0.0005
10000,0.5,0.49,-0.010000000000000009,0.057,0.06933576994864829,4000,0.0005
10000,0.5,0.48,-0.020000000000000018,0.68875,0.6982045593789602,4000,0.0005
10000,0.5,0.45,-0.04999999999999999,1.0,0.9999999999646686,4000,0.0005
50000,0.5,0.5,0.0,0.0005,0.000499999999999945,4000,0.0005
50000,0.5,0.499,-0.0010000000000000009,0.00175,0.0012513350285682234,4000,0.0005
50000,0.5,0.498,-0.0020000000000000018,0.00425,0.004856278007852971,4000,0.0005
50000,0.5,0.495,-0.0050000000000000044,0.10325,0.10662315627947841,4000,0.0005
50000,0.5,0.49,-0.010000000000000009,0.841,0.8392498591239788,4000,0.0005
50000,0.5,0.48,-0.020000000000000018,1.0,0.9999999766601765,4000,0.0005
50000,0.5,0.45,-0.04999999999999999,1.0,1.0,4000,0.0005
100000,0.5,0.5,0.0,0.0,0.000499999999999945,4000,0.0005
100000,0.5,0.499,-0.0010000000000000009,0.00125,0.0022171770706201437,4000,0.0005
100000,0.5,0.498,-0.0020000000000000018,0.014,0.013352087126459555,4000,0.0005
100000,0.5,0.495,-0.0050000000000000044,0.3795,0.37506090783258106,4000,0.0005
100000,0.5,0.49,-0.010000000000000009,0.99825,0.9977710413886409,4000,0.0005
100000,0.5,0.48,-0.020000000000000018,1.0,1.0,4000,0.0005
100000,0.5,0.45,-0.04999999999999999,1.0,1.0,4000,0.0005
500000,0.5,0.5,0.0,0.0005,0.000499999999999945,4000,0.0005
500000,0.5,0.499,-0.0010000000000000009,0.01425,0.019389117348728554,4000,0.0005
500000,0.5,0.498,-0.0020000000000000018,0.25275,0.25709438790724204,4000,0.0005
500000,0.5,0.495,-0.0050000000000000044,0.9995,0.9998348584346942,4000,0.0005
500000,0.5,0.49,-0.010000000000000009,1.0,1.0,4000,0.0005
500000,0.5,0.48,-0.020000000000000018,1.0,1.0,4000,0.0005
500000,0.5,0.45,-0.04999999999999999,1.0,1.0,4000,0.0005
1000000,0.5,0.5,0.0,0.00075,0.000499999999999945,4000,0.0005
1000000,0.5,0.499,-0.0010000000000000009,0.0715,0.06933576994864829,4000,0.0005
1000000,0.5,0.498,-0.0020000000000000018,0.69575,0.6982045593789602,4000,0.0005
1000000,0.5,0.495,-0.0050000000000000044,1.0,0.9999999999646686,4000,0.0005
1000000,0.5,0.49,-0.010000000000000009,1.0,1.0,4000,0.0005
1000000,0.5,0.48,-0.020000000000000018,1.0,1.0,4000,0.0005
1000000,0.5,0.45,-0.04999999999999999,1.0,1.0,4000,0.0005
